"Environment","Genotype","Block","Season","Grain_yield"
"Planaltina","1","1","1","11.37"
"Planaltina","2","1","1","10.28"
"Planaltina","3","1","1","12.02"
"Planaltina","4","1","1","10.43"
"Planaltina","5","1","1","12.87"
"Planaltina","6","1","1","11.23"
"Planaltina","7","1","1","8.99"
"Planaltina","8","1","1","9.82"
"Planaltina","9","1","1","9.98"
"Planaltina","10","1","1","11.86"
"Planaltina","11","1","1","11.74"
"Planaltina","12","1","1","11.24"
"Planaltina","13","1","1","9.24"
"Planaltina","14","1","1","9.77"
"Planaltina","15","1","1","11.84"
"Planaltina","16","1","1","10.54"
"Planaltina","17","1","1","14.41"
"Planaltina","18","1","1","11.41"
"Planaltina","19","1","1","10.67"
"Planaltina","20","1","1","12.37"
"Planaltina","21","1","1","11.2"
"Planaltina","22","1","1","13.38"
"Planaltina","23","1","1","12.08"
"Planaltina","24","1","1","12.21"
"Planaltina","25","1","1","14.65"
"Planaltina","26","1","1","12.36"
"Planaltina","27","1","1","12.02"
"Planaltina","28","1","1","12.27"
"Planaltina","29","1","1","10.14"
"Planaltina","30","1","1","11.00"
"Planaltina","31","1","1","8.45"
"Planaltina","32","1","1","9.71"
"Planaltina","33","1","1","9.06"
"Planaltina","34","1","1","9.28"
"Planaltina","35","1","1","12.81"
"Planaltina","36","1","1","12.56"
"Planaltina","37","1","1","11.99"
"Planaltina","38","1","1","10.39"
"Planaltina","39","1","1","9.71"
"Planaltina","40","1","1","10.24"
"Planaltina","41","1","1","10.49"
"Planaltina","42","1","1","10.04"
"Planaltina","43","1","1","10.25"
"Planaltina","44","1","1","9.89"
"Planaltina","45","1","1","13.63"
"Planaltina","46","1","1","11.24"
"Planaltina","47","1","1","12.42"
"Planaltina","48","1","1","10.17"
"Planaltina","49","1","1","10.36"
"Planaltina","50","1","1","13.94"
"Planaltina","51","1","1","12.95"
"Planaltina","52","1","1","11.28"
"Planaltina","53","1","1","10.55"
"Planaltina","54","1","1","11.64"
"Planaltina","55","1","1","10.72"
"Planaltina","56","1","1","10.18"
"Planaltina","57","1","1","10.61"
"Planaltina","58","1","1","10.07"
"Planaltina","59","1","1","13.16"
"Planaltina","60","1","1","8.05"
"Planaltina","61","1","1","9.2"
"Planaltina","62","1","1","10.11"
"Planaltina","63","1","1","9.11"
"Planaltina","64","1","1","12.02"
"Planaltina","1","2","1","10.89"
"Planaltina","9","2","1","11.32"
"Planaltina","17","2","1","9.63"
"Planaltina","25","2","1","10.52"
"Planaltina","33","2","1","9.47"
"Planaltina","41","2","1","9.21"
"Planaltina","49","2","1","9.84"
"Planaltina","57","2","1","10.15"
"Planaltina","2","2","1","9.52"
"Planaltina","10","2","1","10.44"
"Planaltina","18","2","1","10.55"
"Planaltina","26","2","1","8.55"
"Planaltina","34","2","1","10.58"
"Planaltina","42","2","1","8.22"
"Planaltina","50","2","1","12.18"
"Planaltina","58","2","1","11.52"
"Planaltina","3","2","1","11.79"
"Planaltina","11","2","1","11.47"
"Planaltina","19","2","1","8.74"
"Planaltina","27","2","1","13.01"
"Planaltina","35","2","1","12.13"
"Planaltina","43","2","1","9.57"
"Planaltina","51","2","1","11.13"
"Planaltina","59","2","1","11.95"
"Planaltina","4","2","1","9.41"
"Planaltina","12","2","1","9.52"
"Planaltina","20","2","1","9.45"
"Planaltina","28","2","1","12.9"
"Planaltina","36","2","1","11.5"
"Planaltina","44","2","1","10.16"
"Planaltina","52","2","1","8.86"
"Planaltina","60","2","1","8.6"
"Planaltina","5","2","1","10.48"
"Planaltina","13","2","1","11.37"
"Planaltina","21","2","1","9.89"
"Planaltina","29","2","1","11.67"
"Planaltina","37","2","1","11.62"
"Planaltina","45","2","1","11.92"
"Planaltina","53","2","1","11.59"
"Planaltina","61","2","1","9.48"
"Planaltina","6","2","1","9.97"
"Planaltina","14","2","1","9.08"
"Planaltina","22","2","1","10.8"
